GO.ID	Term	Annotated	Significant	Expected	classic
GO:0046134	pyrimidine nucleoside biosynthetic process	6	6	3.94	0.07997
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	6	6	3.94	0.07997
GO:0051156	glucose 6-phosphate metabolic process	6	6	3.94	0.07997
GO:0061058	regulation of peptidoglycan recognition protein signaling pathway	6	6	3.94	0.07997
GO:0061097	regulation of protein tyrosine kinase activity	6	6	3.94	0.07997
GO:0070734	histone H3-K27 methylation	6	6	3.94	0.07997
GO:0070922	small RNA loading onto RISC	6	6	3.94	0.07997
GO:0071229	cellular response to acid chemical	6	6	3.94	0.07997
GO:0071230	cellular response to amino acid stimulus	6	6	3.94	0.07997
GO:0072375	medium-term memory	6	6	3.94	0.07997
GO:0097354	prenylation	6	6	3.94	0.07997
GO:1900074	negative regulation of neuromuscular synaptic transmission	6	6	3.94	0.07997
GO:0016246	RNA interference	22	18	14.44	0.08018
GO:0031114	regulation of microtubule depolymerization	22	18	14.44	0.08018
GO:0006812	cation transport	153	109	100.45	0.08140
GO:0044242	cellular lipid catabolic process	43	33	28.23	0.08157
GO:0009791	post-embryonic development	524	359	344.01	0.08213
GO:0048569	post-embryonic organ development	433	298	284.27	0.08258
GO:0010942	positive regulation of cell death	63	47	41.36	0.08308
GO:0051302	regulation of cell division	63	47	41.36	0.08308
GO:0042551	neuron maturation	36	28	23.63	0.08371
GO:0043547	positive regulation of GTPase activity	36	28	23.63	0.08371
GO:0072091	regulation of stem cell proliferation	36	28	23.63	0.08371
GO:0008589	regulation of smoothened signaling pathway	29	23	19.04	0.08390
GO:0009062	fatty acid catabolic process	29	23	19.04	0.08390
GO:0031346	positive regulation of cell projection organization	29	23	19.04	0.08390
GO:0045168	cell-cell signaling involved in cell fate commitment	165	117	108.32	0.08619
GO:0006081	cellular aldehyde metabolic process	18	15	11.82	0.08655
GO:0006720	isoprenoid metabolic process	18	15	11.82	0.08655
GO:0044403	symbiosis, encompassing mutualism through parasitism	18	15	11.82	0.08655
GO:0044419	interspecies interaction between organisms	18	15	11.82	0.08655
GO:0045879	negative regulation of smoothened signaling pathway	18	15	11.82	0.08655
GO:0051402	neuron apoptotic process	18	15	11.82	0.08655
GO:0065002	intracellular protein transmembrane transport	18	15	11.82	0.08655
GO:0071806	protein transmembrane transport	18	15	11.82	0.08655
GO:1901699	cellular response to nitrogen compound	66	49	43.33	0.08693
GO:0007472	wing disc morphogenesis	298	207	195.64	0.08693
GO:0007444	imaginal disc development	529	362	347.29	0.08731
GO:0008356	asymmetric cell division	82	60	53.83	0.09071
GO:0051961	negative regulation of nervous system development	82	60	53.83	0.09071
GO:0046843	dorsal appendage formation	39	30	25.6	0.09109
GO:0022603	regulation of anatomical structure morphogenesis	208	146	136.55	0.09133
GO:0006493	protein O-linked glycosylation	14	12	9.19	0.09160
GO:0008078	mesodermal cell migration	14	12	9.19	0.09160
GO:0042044	fluid transport	14	12	9.19	0.09160
GO:0043277	apoptotic cell clearance	14	12	9.19	0.09160
GO:0071711	basement membrane organization	14	12	9.19	0.09160
GO:1903309	negative regulation of chromatin modification	14	12	9.19	0.09160
GO:0007269	neurotransmitter secretion	98	71	64.34	0.09180
GO:0000422	mitophagy	10	9	6.57	0.09253
GO:0002230	positive regulation of defense response to virus by host	10	9	6.57	0.09253
GO:0009794	regulation of mitotic cell cycle, embryonic	10	9	6.57	0.09253
GO:0030514	negative regulation of BMP signaling pathway	10	9	6.57	0.09253
GO:0031345	negative regulation of cell projection organization	10	9	6.57	0.09253
GO:0031398	positive regulation of protein ubiquitination	10	9	6.57	0.09253
GO:0035089	establishment of apical/basal cell polarity	10	9	6.57	0.09253
GO:0048678	response to axon injury	10	9	6.57	0.09253
GO:0050691	regulation of defense response to virus by host	10	9	6.57	0.09253
GO:0061726	mitochondrion disassembly	10	9	6.57	0.09253
GO:0007369	gastrulation	59	44	38.73	0.09262
GO:0016053	organic acid biosynthetic process	59	44	38.73	0.09262
GO:0046394	carboxylic acid biosynthetic process	59	44	38.73	0.09262
GO:0006508	proteolysis	534	365	350.58	0.09267
GO:0006469	negative regulation of protein kinase activity	25	20	16.41	0.09285
GO:0007406	negative regulation of neuroblast proliferation	25	20	16.41	0.09285
GO:0033673	negative regulation of kinase activity	25	20	16.41	0.09285
GO:0033674	positive regulation of kinase activity	25	20	16.41	0.09285
GO:0045860	positive regulation of protein kinase activity	25	20	16.41	0.09285
GO:0051347	positive regulation of transferase activity	25	20	16.41	0.09285
GO:2000178	negative regulation of neural precursor cell proliferation	25	20	16.41	0.09285
GO:0048588	developmental cell growth	49	37	32.17	0.09318
GO:0051783	regulation of nuclear division	49	37	32.17	0.09318
GO:0050773	regulation of dendrite development	32	25	21.01	0.09332
GO:0055088	lipid homeostasis	32	25	21.01	0.09332
GO:0051050	positive regulation of transport	85	62	55.8	0.09355
GO:0034220	ion transmembrane transport	101	73	66.31	0.09407
GO:0060322	head development	101	73	66.31	0.09407
GO:0044770	cell cycle phase transition	139	99	91.25	0.09430
GO:0048638	regulation of developmental growth	192	135	126.05	0.09536
GO:0007560	imaginal disc morphogenesis	376	259	246.85	0.09588
GO:0048563	post-embryonic organ morphogenesis	376	259	246.85	0.09588
GO:0070925	organelle assembly	167	118	109.64	0.09621
GO:0051963	regulation of synapse assembly	88	64	57.77	0.09627
GO:0032446	protein modification by small protein conjugation	170	120	111.61	0.09731
GO:0045088	regulation of innate immune response	75	55	49.24	0.09743
GO:0007259	JAK-STAT cascade	42	32	27.57	0.09793
GO:0016441	posttranscriptional gene silencing	42	32	27.57	0.09793
GO:0030100	regulation of endocytosis	42	32	27.57	0.09793
GO:0035194	posttranscriptional gene silencing by RNA	42	32	27.57	0.09793
GO:0043902	positive regulation of multi-organism process	42	32	27.57	0.09793
GO:0055114	oxidation-reduction process	406	279	266.54	0.09822
GO:0016485	protein processing	52	39	34.14	0.09845
GO:0048863	stem cell differentiation	52	39	34.14	0.09845
GO:0002682	regulation of immune system process	176	124	115.55	0.09943
GO:0044710	single-organism metabolic process	1642	1100	1077.99	0.09991
GO:0001745	compound eye morphogenesis	210	147	137.87	0.10042
GO:0040008	regulation of growth	253	176	166.1	0.10154
GO:0008406	gonad development	35	27	22.98	0.10190
GO:0030239	myofibril assembly	35	27	22.98	0.10190
GO:0031330	negative regulation of cellular catabolic process	35	27	22.98	0.10190
GO:0045137	development of primary sexual characteristics	35	27	22.98	0.10190
GO:0051348	negative regulation of transferase activity	35	27	22.98	0.10190
GO:0006635	fatty acid beta-oxidation	21	17	13.79	0.10254
GO:0006892	post-Golgi vesicle-mediated transport	21	17	13.79	0.10254
GO:0031122	cytoplasmic microtubule organization	21	17	13.79	0.10254
GO:0032006	regulation of TOR signaling	21	17	13.79	0.10254
GO:0048135	female germ-line cyst formation	21	17	13.79	0.10254
GO:0048592	eye morphogenesis	219	153	143.78	0.10269
GO:0090596	sensory organ morphogenesis	219	153	143.78	0.10269
GO:0050767	regulation of neurogenesis	135	96	88.63	0.10314
GO:0051983	regulation of chromosome segregation	28	22	18.38	0.10415
GO:0033993	response to lipid	45	34	29.54	0.10427
GO:0008582	regulation of synaptic growth at neuromuscular junction	84	61	55.15	0.10657
GO:1904396	regulation of neuromuscular junction development	84	61	55.15	0.10657
GO:0023061	signal release	122	87	80.09	0.10785
GO:0009719	response to endogenous stimulus	172	121	112.92	0.10797
GO:0007291	sperm individualization	38	29	24.95	0.10974
GO:0018022	peptidyl-lysine methylation	38	29	24.95	0.10974
GO:0034968	histone lysine methylation	38	29	24.95	0.10974
GO:0042451	purine nucleoside biosynthetic process	38	29	24.95	0.10974
GO:0046129	purine ribonucleoside biosynthetic process	38	29	24.95	0.10974
GO:0048568	embryonic organ development	38	29	24.95	0.10974
GO:0002920	regulation of humoral immune response	48	36	31.51	0.11016
GO:0036465	synaptic vesicle recycling	48	36	31.51	0.11016
GO:0010389	regulation of G2/M transition of mitotic cell cycle	74	54	48.58	0.11170
GO:1902749	regulation of cell cycle G2/M phase transition	74	54	48.58	0.11170
GO:0006397	mRNA processing	267	185	175.29	0.11234
GO:0044723	single-organism carbohydrate metabolic process	156	110	102.42	0.11263
GO:0003382	epithelial cell morphogenesis	17	14	11.16	0.11269
GO:0006754	ATP biosynthetic process	17	14	11.16	0.11269
GO:0007392	initiation of dorsal closure	17	14	11.16	0.11269
GO:0009826	unidimensional cell growth	17	14	11.16	0.11269
GO:0030713	ovarian follicle cell stalk formation	17	14	11.16	0.11269
GO:0031099	regeneration	17	14	11.16	0.11269
GO:0031638	zymogen activation	17	14	11.16	0.11269
GO:0031987	locomotion involved in locomotory behavior	17	14	11.16	0.11269
GO:0035330	regulation of hippo signaling	17	14	11.16	0.11269
GO:0045476	nurse cell apoptotic process	17	14	11.16	0.11269
GO:0045815	positive regulation of gene expression, epigenetic	17	14	11.16	0.11269
GO:0050688	regulation of defense response to virus	17	14	11.16	0.11269
GO:0097306	cellular response to alcohol	17	14	11.16	0.11269
GO:0048736	appendage development	334	230	219.27	0.11300
GO:0016567	protein ubiquitination	159	112	104.38	0.11382
GO:0032388	positive regulation of intracellular transport	31	24	20.35	0.11424
GO:0072329	monocarboxylic acid catabolic process	31	24	20.35	0.11424
GO:0051301	cell division	230	160	151	0.11424
GO:0045087	innate immune response	137	97	89.94	0.11580
GO:0040007	growth	367	252	240.94	0.11593
GO:0051656	establishment of organelle localization	165	116	108.32	0.11611
GO:0002778	antibacterial peptide production	24	19	15.76	0.11636
GO:0002780	antibacterial peptide biosynthetic process	24	19	15.76	0.11636
GO:0002786	regulation of antibacterial peptide production	24	19	15.76	0.11636
GO:0002808	regulation of antibacterial peptide biosynthetic process	24	19	15.76	0.11636
GO:0007317	regulation of pole plasm oskar mRNA localization	24	19	15.76	0.11636
GO:0045807	positive regulation of endocytosis	24	19	15.76	0.11636
GO:0060281	regulation of oocyte development	24	19	15.76	0.11636
GO:1902875	regulation of embryonic pattern specification	24	19	15.76	0.11636
GO:1903429	regulation of cell maturation	24	19	15.76	0.11636
GO:1904580	regulation of intracellular mRNA localization	24	19	15.76	0.11636
GO:0002831	regulation of response to biotic stimulus	64	47	42.02	0.11656
GO:0007442	hindgut morphogenesis	41	31	26.92	0.11692
GO:0032886	regulation of microtubule-based process	41	31	26.92	0.11692
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	41	31	26.92	0.11692
GO:0050769	positive regulation of neurogenesis	41	31	26.92	0.11692
GO:0061525	hindgut development	41	31	26.92	0.11692
GO:1901184	regulation of ERBB signaling pathway	41	31	26.92	0.11692
GO:0010948	negative regulation of cell cycle process	96	69	63.02	0.11697
GO:0035220	wing disc development	397	272	260.63	0.11797
GO:0008360	regulation of cell shape	99	71	64.99	0.11930
GO:0045995	regulation of embryonic development	67	49	43.99	0.12044
GO:0007274	neuromuscular synaptic transmission	54	40	35.45	0.12075
GO:0000060	protein import into nucleus, translocation	5	5	3.28	0.12186
GO:0001555	oocyte growth	5	5	3.28	0.12186
GO:0001885	endothelial cell development	5	5	3.28	0.12186
GO:0003158	endothelium development	5	5	3.28	0.12186
GO:0006241	CTP biosynthetic process	5	5	3.28	0.12186
GO:0006525	arginine metabolic process	5	5	3.28	0.12186
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	5	5	3.28	0.12186
GO:0006829	zinc II ion transport	5	5	3.28	0.12186
GO:0007385	specification of segmental identity, abdomen	5	5	3.28	0.12186
GO:0007395	dorsal closure, spreading of leading edge cells	5	5	3.28	0.12186
GO:0007561	imaginal disc eversion	5	5	3.28	0.12186
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	5	5	3.28	0.12186
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process	5	5	3.28	0.12186
GO:0010257	NADH dehydrogenase complex assembly	5	5	3.28	0.12186
GO:0016574	histone ubiquitination	5	5	3.28	0.12186
GO:0018065	protein-cofactor linkage	5	5	3.28	0.12186
GO:0019319	hexose biosynthetic process	5	5	3.28	0.12186
GO:0030317	sperm motility	5	5	3.28	0.12186
GO:0030433	ER-associated ubiquitin-dependent protein catabolic process	5	5	3.28	0.12186
GO:0031453	positive regulation of heterochromatin assembly	5	5	3.28	0.12186
GO:0032981	mitochondrial respiratory chain complex I assembly	5	5	3.28	0.12186
GO:0035026	leading edge cell differentiation	5	5	3.28	0.12186
GO:0036503	ERAD pathway	5	5	3.28	0.12186
GO:0042632	cholesterol homeostasis	5	5	3.28	0.12186
GO:0042694	muscle cell fate specification	5	5	3.28	0.12186
GO:0042795	snRNA transcription from RNA polymerase II promoter	5	5	3.28	0.12186
GO:0045446	endothelial cell differentiation	5	5	3.28	0.12186
GO:0046036	CTP metabolic process	5	5	3.28	0.12186
GO:0046364	monosaccharide biosynthetic process	5	5	3.28	0.12186
GO:0046663	dorsal closure, leading edge cell differentiation	5	5	3.28	0.12186
GO:0048133	male germ-line stem cell asymmetric division	5	5	3.28	0.12186
GO:0051036	regulation of endosome size	5	5	3.28	0.12186
GO:0051125	regulation of actin nucleation	5	5	3.28	0.12186
GO:0051262	protein tetramerization	5	5	3.28	0.12186
GO:0055069	zinc ion homeostasis	5	5	3.28	0.12186
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	5	5	3.28	0.12186
GO:0060074	synapse maturation	5	5	3.28	0.12186
GO:0061060	negative regulation of peptidoglycan recognition protein signaling pathway	5	5	3.28	0.12186
GO:0090254	cell elongation involved in imaginal disc-derived wing morphogenesis	5	5	3.28	0.12186
GO:1903146	regulation of mitophagy	5	5	3.28	0.12186
GO:2001234	negative regulation of apoptotic signaling pathway	5	5	3.28	0.12186
GO:0001895	retina homeostasis	13	11	8.53	0.12246
GO:0001964	startle response	13	11	8.53	0.12246
GO:0002812	biosynthetic process of antibacterial peptides active against Gram-negative bacteria	13	11	8.53	0.12246
GO:0002813	regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria	13	11	8.53	0.12246
GO:0006885	regulation of pH	13	11	8.53	0.12246
GO:0031507	heterochromatin assembly	13	11	8.53	0.12246
GO:0046928	regulation of neurotransmitter secretion	13	11	8.53	0.12246
GO:0051588	regulation of neurotransmitter transport	13	11	8.53	0.12246
GO:0055067	monovalent inorganic cation homeostasis	13	11	8.53	0.12246
GO:0007350	blastoderm segmentation	152	107	99.79	0.12253
GO:0070507	regulation of microtubule cytoskeleton organization	34	26	22.32	0.12329
GO:0090287	regulation of cellular response to growth factor stimulus	34	26	22.32	0.12329
GO:1900424	regulation of defense response to bacterium	34	26	22.32	0.12329
GO:0034250	positive regulation of cellular amide metabolic process	44	33	28.89	0.12351
GO:0010720	positive regulation of cell development	57	42	37.42	0.12551
GO:0031032	actomyosin structure organization	57	42	37.42	0.12551
GO:0048608	reproductive structure development	57	42	37.42	0.12551
GO:0061458	reproductive system development	57	42	37.42	0.12551
GO:0007635	chemosensory behavior	89	64	58.43	0.12646
GO:1901988	negative regulation of cell cycle phase transition	89	64	58.43	0.12646
GO:1901991	negative regulation of mitotic cell cycle phase transition	89	64	58.43	0.12646
GO:0042221	response to chemical	642	435	421.48	0.12764
GO:0043244	regulation of protein complex disassembly	27	21	17.73	0.12839
GO:0051306	mitotic sister chromatid separation	27	21	17.73	0.12839
GO:0035107	appendage morphogenesis	329	226	215.99	0.12861
GO:0033554	cellular response to stress	516	351	338.76	0.12861
GO:0048737	imaginal disc-derived appendage development	332	228	217.96	0.12888
GO:0002921	negative regulation of humoral immune response	9	8	5.91	0.12917
GO:0006835	dicarboxylic acid transport	9	8	5.91	0.12917
GO:0010847	regulation of chromatin assembly	9	8	5.91	0.12917
GO:0031936	negative regulation of chromatin silencing	9	8	5.91	0.12917
GO:0035002	liquid clearance, open tracheal system	9	8	5.91	0.12917
GO:0035039	male pronucleus assembly	9	8	5.91	0.12917
GO:0035332	positive regulation of hippo signaling	9	8	5.91	0.12917
GO:0042274	ribosomal small subunit biogenesis	9	8	5.91	0.12917
GO:0042559	pteridine-containing compound biosynthetic process	9	8	5.91	0.12917
GO:0051101	regulation of DNA binding	9	8	5.91	0.12917
GO:0070584	mitochondrion morphogenesis	9	8	5.91	0.12917
GO:1903729	regulation of plasma membrane organization	9	8	5.91	0.12917
GO:0034622	cellular macromolecular complex assembly	210	146	137.87	0.12951
GO:0002759	regulation of antimicrobial humoral response	47	35	30.86	0.12957
GO:0045786	negative regulation of cell cycle	114	81	74.84	0.12958
GO:0006486	protein glycosylation	60	44	39.39	0.12996
GO:0043086	negative regulation of catalytic activity	60	44	39.39	0.12996
GO:0043413	macromolecule glycosylation	60	44	39.39	0.12996
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	20	16	13.13	0.13012
GO:0007390	germ-band shortening	20	16	13.13	0.13012
GO:0031111	negative regulation of microtubule polymerization or depolymerization	20	16	13.13	0.13012
GO:1904029	regulation of cyclin-dependent protein kinase activity	20	16	13.13	0.13012
GO:0015672	monovalent inorganic cation transport	76	55	49.89	0.13085
GO:0002777	antimicrobial peptide biosynthetic process	37	28	24.29	0.13145
GO:0002805	regulation of antimicrobial peptide biosynthetic process	37	28	24.29	0.13145
GO:0070647	protein modification by small protein conjugation or removal	219	152	143.78	0.13156
GO:0044255	cellular lipid metabolic process	231	160	151.65	0.13402
GO:0030258	lipid modification	63	46	41.36	0.13413
GO:0035295	tube development	623	422	409	0.13431
GO:0051640	organelle localization	188	131	123.42	0.13483
GO:0048546	digestive tract morphogenesis	50	37	32.83	0.13516
GO:0035120	post-embryonic appendage morphogenesis	325	223	213.37	0.13690
GO:0035114	imaginal disc-derived appendage morphogenesis	328	225	215.33	0.13716
GO:0048584	positive regulation of response to stimulus	328	225	215.33	0.13716
GO:0007304	chorion-containing eggshell formation	66	48	43.33	0.13803
GO:0006364	rRNA processing	40	30	26.26	0.13882
GO:0008284	positive regulation of cell proliferation	40	30	26.26	0.13882
GO:0019915	lipid storage	40	30	26.26	0.13882
GO:0035006	melanization defense response	40	30	26.26	0.13882
GO:0034976	response to endoplasmic reticulum stress	30	23	19.7	0.13893
GO:0051648	vesicle localization	107	76	70.25	0.14009
GO:0031123	RNA 3'-end processing	53	39	34.79	0.14033
GO:0022604	regulation of cell morphogenesis	138	97	90.6	0.14225
GO:0033044	regulation of chromosome organization	88	63	57.77	0.14231
GO:0032102	negative regulation of response to external stimulus	23	18	15.1	0.14472
GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	23	18	15.1	0.14472
GO:0048865	stem cell fate commitment	23	18	15.1	0.14472
GO:0030718	germ-line stem cell population maintenance	56	41	36.76	0.14511
GO:0007303	cytoplasmic transport, nurse cell to oocyte	16	13	10.5	0.14549
GO:0007413	axonal fasciculation	16	13	10.5	0.14549
GO:0007562	eclosion	16	13	10.5	0.14549
GO:0009566	fertilization	16	13	10.5	0.14549
GO:0031050	dsRNA fragmentation	16	13	10.5	0.14549
GO:0035073	pupariation	16	13	10.5	0.14549
GO:0043331	response to dsRNA	16	13	10.5	0.14549
GO:0045047	protein targeting to ER	16	13	10.5	0.14549
GO:0070918	production of small RNA involved in gene silencing by RNA	16	13	10.5	0.14549
GO:0071359	cellular response to dsRNA	16	13	10.5	0.14549
GO:0072599	establishment of protein localization to endoplasmic reticulum	16	13	10.5	0.14549
GO:0090288	negative regulation of cellular response to growth factor stimulus	16	13	10.5	0.14549
GO:0030952	establishment or maintenance of cytoskeleton polarity	43	32	28.23	0.14551
GO:0071900	regulation of protein serine/threonine kinase activity	43	32	28.23	0.14551
GO:0035282	segmentation	184	128	120.8	0.14555
GO:0042127	regulation of cell proliferation	150	105	98.48	0.14727
GO:0016203	muscle attachment	33	25	21.66	0.14822
GO:0032507	maintenance of protein location in cell	33	25	21.66	0.14822
GO:0046474	glycerophospholipid biosynthetic process	33	25	21.66	0.14822
GO:0006396	RNA processing	393	268	258.01	0.14945
GO:0045930	negative regulation of mitotic cell cycle	97	69	63.68	0.14947
GO:0043068	positive regulation of programmed cell death	59	43	38.73	0.14955
GO:0032269	negative regulation of cellular protein metabolic process	125	88	82.06	0.15052
GO:0051248	negative regulation of protein metabolic process	125	88	82.06	0.15052
GO:0051336	regulation of hydrolase activity	125	88	82.06	0.15052
GO:0061025	membrane fusion	46	34	30.2	0.15161
GO:0051651	maintenance of location in cell	36	27	23.63	0.15648
GO:0008380	RNA splicing	238	164	156.25	0.15685
GO:0001703	gastrulation with mouth forming first	26	20	17.07	0.15712
GO:0006289	nucleotide-excision repair	26	20	17.07	0.15712
GO:0010004	gastrulation involving germ band extension	26	20	17.07	0.15712
GO:0070828	heterochromatin organization	26	20	17.07	0.15712
GO:1901879	regulation of protein depolymerization	26	20	17.07	0.15712
GO:0007219	Notch signaling pathway	115	81	75.5	0.16100
GO:0006473	protein acetylation	68	49	44.64	0.16112
GO:0006475	internal protein amino acid acetylation	68	49	44.64	0.16112
GO:0018393	internal peptidyl-lysine acetylation	68	49	44.64	0.16112
GO:0018394	peptidyl-lysine acetylation	68	49	44.64	0.16112
GO:0042060	wound healing	68	49	44.64	0.16112
GO:0007420	brain development	90	64	59.09	0.16204
GO:0098542	defense response to other organism	201	139	131.96	0.16206
GO:0006986	response to unfolded protein	12	10	7.88	0.16225
GO:0018993	somatic sex determination	12	10	7.88	0.16225
GO:0031058	positive regulation of histone modification	12	10	7.88	0.16225
GO:0035290	trunk segmentation	12	10	7.88	0.16225
GO:0035309	wing and notum subfield formation	12	10	7.88	0.16225
GO:0036335	intestinal stem cell homeostasis	12	10	7.88	0.16225
GO:0044743	intracellular protein transmembrane import	12	10	7.88	0.16225
GO:0045167	asymmetric protein localization involved in cell fate determination	12	10	7.88	0.16225
GO:0045494	photoreceptor cell maintenance	12	10	7.88	0.16225
GO:0048872	homeostasis of number of cells	12	10	7.88	0.16225
GO:0002697	regulation of immune effector process	52	38	34.14	0.16229
GO:0007265	Ras protein signal transduction	155	108	101.76	0.16306
GO:0006506	GPI anchor biosynthetic process	19	15	12.47	0.16374
GO:0007026	negative regulation of microtubule depolymerization	19	15	12.47	0.16374
GO:0007367	segment polarity determination	19	15	12.47	0.16374
GO:0035017	cuticle pattern formation	19	15	12.47	0.16374
GO:0043631	RNA polyadenylation	19	15	12.47	0.16374
GO:0071482	cellular response to light stimulus	19	15	12.47	0.16374
GO:1902742	apoptotic process involved in development	19	15	12.47	0.16374
GO:0030431	sleep	39	29	25.6	0.16385
GO:0016071	mRNA metabolic process	307	210	201.55	0.16416
GO:0010506	regulation of autophagy	71	51	46.61	0.16448
GO:0007005	mitochondrion organization	127	89	83.38	0.16709
GO:0050803	regulation of synapse structure or activity	127	89	83.38	0.16709
GO:0002225	positive regulation of antimicrobial peptide production	29	22	19.04	0.16777
GO:0002699	positive regulation of immune effector process	29	22	19.04	0.16777
GO:0002702	positive regulation of production of molecular mediator of immune response	29	22	19.04	0.16777
GO:0002760	positive regulation of antimicrobial humoral response	29	22	19.04	0.16777
GO:0002922	positive regulation of humoral immune response	29	22	19.04	0.16777
GO:0045666	positive regulation of neuron differentiation	29	22	19.04	0.16777
GO:0005975	carbohydrate metabolic process	237	163	155.59	0.16826
GO:0007528	neuromuscular junction development	130	91	85.35	0.16845
GO:0044283	small molecule biosynthetic process	99	70	64.99	0.16860
GO:0009617	response to bacterium	176	122	115.55	0.16932
GO:0002700	regulation of production of molecular mediator of immune response	42	31	27.57	0.17046
GO:0002784	regulation of antimicrobial peptide production	42	31	27.57	0.17046
GO:0016072	rRNA metabolic process	42	31	27.57	0.17046
GO:0002168	instar larval development	58	42	38.08	0.17132
GO:0055080	cation homeostasis	58	42	38.08	0.17132
GO:0098771	inorganic ion homeostasis	58	42	38.08	0.17132
GO:1903308	regulation of chromatin modification	58	42	38.08	0.17132
GO:0051650	establishment of vesicle localization	105	74	68.93	0.17243
GO:0000086	G2/M transition of mitotic cell cycle	80	57	52.52	0.17335
GO:0048640	negative regulation of developmental growth	61	44	40.05	0.17532
GO:0070085	glycosylation	61	44	40.05	0.17532
GO:0006836	neurotransmitter transport	111	78	72.87	0.17589
GO:0003002	regionalization	348	237	228.46	0.17616
GO:0060562	epithelial tube morphogenesis	426	289	279.67	0.17640
GO:0016571	histone methylation	45	33	29.54	0.17643
GO:0045451	pole plasm oskar mRNA localization	45	33	29.54	0.17643
GO:0002833	positive regulation of response to biotic stimulus	32	24	21.01	0.17700
GO:0008652	cellular amino acid biosynthetic process	32	24	21.01	0.17700
GO:0032868	response to insulin	32	24	21.01	0.17700
GO:0043434	response to peptide hormone	32	24	21.01	0.17700
GO:0044057	regulation of system process	32	24	21.01	0.17700
GO:1901652	response to peptide	32	24	21.01	0.17700
GO:0030001	metal ion transport	86	61	56.46	0.17840
GO:0042048	olfactory behavior	86	61	56.46	0.17840
GO:0010952	positive regulation of peptidase activity	22	17	14.44	0.17855
GO:0019216	regulation of lipid metabolic process	22	17	14.44	0.17855
GO:0033301	cell cycle comprising mitosis without cytokinesis	22	17	14.44	0.17855
GO:0051489	regulation of filopodium assembly	22	17	14.44	0.17855
GO:0000375	RNA splicing, via transesterification reactions	224	154	147.06	0.17867
GO:0000154	rRNA modification	8	7	5.25	0.17879
GO:0001109	promoter clearance during DNA-templated transcription	8	7	5.25	0.17879
GO:0001111	promoter clearance from RNA polymerase II promoter	8	7	5.25	0.17879
GO:0006013	mannose metabolic process	8	7	5.25	0.17879
GO:0006213	pyrimidine nucleoside metabolic process	8	7	5.25	0.17879
GO:0006398	histone mRNA 3'-end processing	8	7	5.25	0.17879
GO:0006672	ceramide metabolic process	8	7	5.25	0.17879
GO:0006721	terpenoid metabolic process	8	7	5.25	0.17879
GO:0006766	vitamin metabolic process	8	7	5.25	0.17879
GO:0006767	water-soluble vitamin metabolic process	8	7	5.25	0.17879
GO:0006984	ER-nucleus signaling pathway	8	7	5.25	0.17879
GO:0007368	determination of left/right symmetry	8	7	5.25	0.17879
GO:0007439	ectodermal digestive tract development	8	7	5.25	0.17879
GO:0008090	retrograde axon cargo transport	8	7	5.25	0.17879
GO:0008334	histone mRNA metabolic process	8	7	5.25	0.17879
GO:0008348	negative regulation of antimicrobial humoral response	8	7	5.25	0.17879
GO:0016335	morphogenesis of larval imaginal disc epithelium	8	7	5.25	0.17879
GO:0030730	sequestering of triglyceride	8	7	5.25	0.17879
GO:0030859	polarized epithelial cell differentiation	8	7	5.25	0.17879
GO:0030968	endoplasmic reticulum unfolded protein response	8	7	5.25	0.17879
GO:0032350	regulation of hormone metabolic process	8	7	5.25	0.17879
GO:0033108	mitochondrial respiratory chain complex assembly	8	7	5.25	0.17879
GO:0033865	nucleoside bisphosphate metabolic process	8	7	5.25	0.17879
GO:0033875	ribonucleoside bisphosphate metabolic process	8	7	5.25	0.17879
GO:0034032	purine nucleoside bisphosphate metabolic process	8	7	5.25	0.17879
GO:0035041	sperm chromatin decondensation	8	7	5.25	0.17879
GO:0040034	regulation of development, heterochronic	8	7	5.25	0.17879
GO:0042255	ribosome assembly	8	7	5.25	0.17879
GO:0044110	growth involved in symbiotic interaction	8	7	5.25	0.17879
GO:0044116	growth of symbiont involved in interaction with host	8	7	5.25	0.17879
GO:0044117	growth of symbiont in host	8	7	5.25	0.17879
GO:0044126	regulation of growth of symbiont in host	8	7	5.25	0.17879
GO:0044130	negative regulation of growth of symbiont in host	8	7	5.25	0.17879
GO:0044144	modulation of growth of symbiont involved in interaction with host	8	7	5.25	0.17879
GO:0044146	negative regulation of growth of symbiont involved in interaction with host	8	7	5.25	0.17879
GO:0045175	basal protein localization	8	7	5.25	0.17879
GO:0045198	establishment of epithelial cell apical/basal polarity	8	7	5.25	0.17879
GO:0045571	negative regulation of imaginal disc growth	8	7	5.25	0.17879
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	8	7	5.25	0.17879
GO:0046131	pyrimidine ribonucleoside metabolic process	8	7	5.25	0.17879
